2024-05-13 17:51:08,516 | INFO | A new study created in memory with name: no-name-7c17a0d8-e644-47ff-9bbf-082f8222bac7
2024-05-13 18:00:03,927 | INFO | Trial 0 finished with value: 0.5728476643562317 and parameters: {'num_attn_blocks': 10, 'n_mlp_layers': 7, 'mlp_layers_dim': 400.0, 'mlp_kwargs_dropout': False, 'mlp_kwargs_batchnorm': False, 'mlp_kwargs_dropout_rate': 0.260756289102412, 'lr': 0.00256962766874793, 'n_epochs': 13.0}. Best is trial 0 with value: 0.5728476643562317.
2024-05-13 18:11:57,194 | INFO | Trial 1 finished with value: 0.685982346534729 and parameters: {'num_attn_blocks': 7, 'n_mlp_layers': 6, 'mlp_layers_dim': 480.0, 'mlp_kwargs_dropout': False, 'mlp_kwargs_batchnorm': True, 'mlp_kwargs_dropout_rate': 0.4061264921701848, 'lr': 0.003073489226983736, 'n_epochs': 17.0}. Best is trial 1 with value: 0.685982346534729.
2024-05-13 18:14:08,421 | INFO | Trial 2 finished with value: 0.6986755132675171 and parameters: {'num_attn_blocks': 1, 'n_mlp_layers': 7, 'mlp_layers_dim': 496.0, 'mlp_kwargs_dropout': False, 'mlp_kwargs_batchnorm': True, 'mlp_kwargs_dropout_rate': 0.6824616853932067, 'lr': 0.004633256565142509, 'n_epochs': 11.0}. Best is trial 2 with value: 0.6986755132675171.
2024-05-13 18:19:38,975 | INFO | Trial 3 finished with value: 0.573399543762207 and parameters: {'num_attn_blocks': 8, 'n_mlp_layers': 8, 'mlp_layers_dim': 448.0, 'mlp_kwargs_dropout': True, 'mlp_kwargs_batchnorm': False, 'mlp_kwargs_dropout_rate': 0.615339443684543, 'lr': 0.004249875941194546, 'n_epochs': 13.0}. Best is trial 2 with value: 0.6986755132675171.
2024-05-13 18:21:35,635 | INFO | Trial 4 finished with value: 0.6147902607917786 and parameters: {'num_attn_blocks': 3, 'n_mlp_layers': 10, 'mlp_layers_dim': 256.0, 'mlp_kwargs_dropout': False, 'mlp_kwargs_batchnorm': False, 'mlp_kwargs_dropout_rate': 0.8061700155101121, 'lr': 0.0030466430045243825, 'n_epochs': 5.0}. Best is trial 2 with value: 0.6986755132675171.
2024-05-13 18:26:17,123 | INFO | Trial 5 finished with value: 0.6423841118812561 and parameters: {'num_attn_blocks': 5, 'n_mlp_layers': 4, 'mlp_layers_dim': 80.0, 'mlp_kwargs_dropout': False, 'mlp_kwargs_batchnorm': False, 'mlp_kwargs_dropout_rate': 0.8492085385801856, 'lr': 0.0049785008060468155, 'n_epochs': 9.0}. Best is trial 2 with value: 0.6986755132675171.
2024-05-13 18:32:49,059 | INFO | Trial 6 finished with value: 0.5789183378219604 and parameters: {'num_attn_blocks': 10, 'n_mlp_layers': 3, 'mlp_layers_dim': 112.0, 'mlp_kwargs_dropout': True, 'mlp_kwargs_batchnorm': False, 'mlp_kwargs_dropout_rate': 0.2091662035723502, 'lr': 0.0044008494597207685, 'n_epochs': 9.0}. Best is trial 2 with value: 0.6986755132675171.
2024-05-13 18:38:50,618 | INFO | Trial 7 finished with value: 0.6423841118812561 and parameters: {'num_attn_blocks': 3, 'n_mlp_layers': 9, 'mlp_layers_dim': 400.0, 'mlp_kwargs_dropout': True, 'mlp_kwargs_batchnorm': False, 'mlp_kwargs_dropout_rate': 0.2558446764784378, 'lr': 0.0014025772185221178, 'n_epochs': 17.0}. Best is trial 2 with value: 0.6986755132675171.
2024-05-13 18:44:51,700 | INFO | Trial 8 finished with value: 0.5722957849502563 and parameters: {'num_attn_blocks': 8, 'n_mlp_layers': 4, 'mlp_layers_dim': 288.0, 'mlp_kwargs_dropout': True, 'mlp_kwargs_batchnorm': False, 'mlp_kwargs_dropout_rate': 0.14192971821739686, 'lr': 0.0040521558358012815, 'n_epochs': 11.0}. Best is trial 2 with value: 0.6986755132675171.
2024-05-13 18:50:49,637 | INFO | Trial 9 finished with value: 0.5756070613861084 and parameters: {'num_attn_blocks': 9, 'n_mlp_layers': 4, 'mlp_layers_dim': 64.0, 'mlp_kwargs_dropout': False, 'mlp_kwargs_batchnorm': True, 'mlp_kwargs_dropout_rate': 0.8218342956116115, 'lr': 0.004137426038315936, 'n_epochs': 7.0}. Best is trial 2 with value: 0.6986755132675171.
2024-05-13 18:54:22,601 | INFO | Trial 10 finished with value: 0.6683223247528076 and parameters: {'num_attn_blocks': 1, 'n_mlp_layers': 6, 'mlp_layers_dim': 272.0, 'mlp_kwargs_dropout': False, 'mlp_kwargs_batchnorm': True, 'mlp_kwargs_dropout_rate': 0.6143091642308008, 'lr': 0.0012284355704123694, 'n_epochs': 19.0}. Best is trial 2 with value: 0.6986755132675171.
